Subject,SymSpan,OSpan,RotSpan,RAPM,NumberSeries,LetterSets,Antisaccade,VAorient,Squared_Stroop,Squared_Flanker,Squared_Simon,StroopDL,SART,SACT,PVT,GradCPT_rt_cv,GradCPT_dprime,Resamples
19131,15,42,11,14,9,20,0.9166666666666666,2.2,28,35,69,-1607.5,2.310234740719745,0.7380952380952381,-6.331912387018855,-0.0954728163669659,2.52239614121798,NA
19132,20,35,11,12,10,19,0.8333333333333333,2.1833333333333336,16,NA,62,-792.5,0.6613665669183064,0.5,-6.665956655963605,-0.35920297718103,NA,0.15415140415140416
19133,20,39,13,10,14,23,0.9166666666666669,3.1000000000000005,52,51,72,NA,2.695111904657833,0.42857142857142855,-6.3237614123187145,-0.242630785153501,2.19277799594472,0.07627118644067797
19134,16,34,17,12,10,21,0.9444444444444444,2.466666666666667,53,63,59,-712.5,4.12801940829015,0.5952380952380952,-6.02763574341281,-0.219927023096916,2.60878250742878,NA
19135,19,24,10,7,14,13,0.9444444444444444,2.05,35,30,71,-830.5,2.936501417359904,0.8095238095238095,-6.2687411070021195,-0.288195321091048,0.357789023225827,0.3497321428571428
19136,23,39,20,15,14,18,0.8472222222222222,3.4833333333333334,69,65,77,-601.5,3.2528022561291516,0.7857142857142857,-6.0594346735472495,-0.270714147339224,1.69353086736082,0.15569196428571427
19139,16,31,10,14,10,20,0.9583333333333334,1.4333333333333331,32,39,71,-1060,1.9788589160611407,0.3571428571428571,-5.937712091108735,-0.129900841036526,1.68743780575981,NA
19141,21,35,18,12,12,19,0.9861111111111112,2.9333333333333336,40,43,85,-880.5,1.9052734507843097,0.8333333333333334,-6.1545547419740485,-0.344480051452928,1.41813875030826,0.08333333333333333
19142,21,33,22,14,13,20,0.9583333333333334,3.3166666666666664,NA,74,81,-650,3.929072480148774,0.9285714285714286,-5.857397296651579,-0.225944859047308,2.33583870674995,0.01260504201680672
19143,21,30,12,6,12,15,0.8888888888888888,2.05,40,32,82,-1181.5,3.009592489686801,0.8571428571428571,-6.0454791354142206,-0.259290079573717,1.96023714439739,0.3687003968253969
19146,20,37,NA,14,14,18,0.9583333333333331,2.7,42,38,70,-545,3.3821214990262627,0.5476190476190477,NA,-0.147789886451778,2.53599942146501,0.25811688311688313
19147,15,21,12,9,8,12,0.5416666666666667,1.15,42,44,62,-1020,3.766312511182439,0.7857142857142858,-6.094536732247796,-0.153563034364893,1.93899808395067,0.10617760617760616
19148,20,33,18,11,14,19,0.9722222222222222,NA,47,68,78,-574,2.936501417359904,0.9523809523809524,-6.252316679869376,-0.211233683255203,2.53739543321761,NA
19150,18,26,NA,9,6,15,NA,1.2166666666666666,30,12,67,-1172.5,1.178085120883046,NA,-6.608771486771916,-0.289298977790047,0.468544134174911,0.25390625
19152,17,31,18,9,8,14,0.8055555555555557,1.0166666666666666,25,32,50,-717,NA,0.7142857142857143,-6.469715324941794,-0.207334703975147,0.758029798833989,0.13283208020050125
19153,11,27,11,12,7,15,0.75,1.8833333333333333,22,28,67,-869.5,3.766312511182439,0.7857142857142858,-6.088558848705809,-0.244602363160934,1.96542072115994,0.3114754098360656
19154,27,42,20,6,13,19,0.7361111111111112,2.833333333333333,39,27,56,-619.5,0.6842946579639271,0.7142857142857143,-6.153583396584417,-0.23524849230592,1.90132600193837,0.20161290322580644
19155,21,36,10,12,8,23,0.9166666666666666,3.2,35,41,65,-663.5,3.6253312654686134,0.7619047619047619,-6.048890782223468,-0.180094212490011,2.24864877069342,0.0641025641025641
19156,16,35,15,12,11,17,0.8611111111111112,2.066666666666667,34,11,62,-1234,2.4793915674118816,0.9285714285714286,-5.994626210445561,-0.151549619752103,2.52647331724148,NA
19158,12,34,12,1,3,12,0.6527777777777778,1.2833333333333332,3,21,51,-770.5,NA,0.3571428571428571,-5.9364047699249545,-0.190052771304075,2.24263001842798,0.3138528138528139
19159,25,41,27,12,14,19,0.875,3.783333333333333,51,55,62,-477,2.584966752456662,0.47619047619047616,-6.028106388377274,-0.204807601641144,1.94148891200242,0.09761904761904762
19160,21,40,17,10,7,17,0.5138888888888888,1.1333333333333333,26,16,47,-1410.5,0.5844802715816659,NA,-6.485725153999278,-0.241079395844632,1.09595618983903,0.3344155844155844
19161,24,32,17,12,12,22,1,2.783333333333333,49,62,74,-628,3.498726486382745,0.5,-6.280146119892846,-0.169748432746604,2.28948092781687,0.05432595573440644
19162,15,32,15,7,7,9,0.7777777777777778,2.0166666666666666,22,24,52,-903.5,-0.653066323289437,NA,-6.5536484631491145,-0.252427342443801,0.979151622371868,NA
19163,21,32,20,14,7,14,0.8194444444444443,2.383333333333333,26,40,63,-856.5,3.126197477043283,0.4047619047619048,-6.249975242259483,-0.317615817462945,0.230097352129195,0.05782312925170069
19164,23,29,18,17,11,13,0.8194444444444444,3.45,58,64,72,-618.5,2.5435719836568156,0.8571428571428571,-6.169218396123381,-0.171376665683097,2.57626395471156,NA
19165,17,35,15,13,11,16,0.9722222222222222,2.6500000000000004,40,26,73,-559.5,2.081731602498262,0.5476190476190477,-6.150602768446279,-0.215955151429598,2.28948092781687,NA
19166,23,32,22,14,12,26,0.8611111111111112,3.2,35,65,77,-649.5,3.704399641271227,0.9761904761904762,-6.122054116811584,-0.248869926015589,1.76076058853562,0.06746031746031746
19167,18,36,18,9,9,19,0.8055555555555556,1.4666666666666668,30,41,67,-686,1.972415658573838,0.5714285714285714,-6.12827181817879,-0.169588286365161,2.15577366879242,NA
19169,12,20,12,12,15,17,0.7638888888888888,3.1000000000000005,36,50,73,-621.5,3.3937835018429774,1,-6.039142982424724,-0.171639476229587,2.56637263743984,0.27576403695806684
19170,11,36,13,12,9,12,0.5972222222222222,2,18,44,57,-932.5,2.087157278958278,0.8571428571428571,-6.227590132645361,-0.158151173357869,2.09936301212947,0.22316958403914924
19172,19,23,11,11,10,14,0.9166666666666669,2.766666666666667,37,53,60,-696,2.5783801593601186,0.6904761904761905,-6.356570516524567,-0.167686488438717,2.52647331724148,0.09821428571428573
19173,14,28,8,8,11,19,0.7638888888888888,2.5166666666666666,43,39,82,-1249.5,-0.6899552003842022,0.33333333333333337,-6.199748235515168,-0.257324875417468,1.20107312693395,0.18733044733044732
19175,20,36,16,11,11,17,0.875,2.9,42,49,73,-652.5,1.356476333909865,0.6190476190476191,-6.104495569070028,NA,NA,0.35992907801418433
19176,19,35,14,9,10,15,0.9722222222222222,2.216666666666667,38,51,76,-686.5,2.8841121127432796,0.33333333333333337,-6.400257445308821,-0.238565587381895,2.06069989931684,0.21905438311688313
19177,21,33,15,14,12,21,0.9305555555555556,3.0166666666666666,41,46,85,-515.5,2.584966752456662,0.4047619047619048,-5.926748232388291,-0.154275054224755,2.69480358533861,NA
19179,21,NA,19,12,9,17,0.6666666666666667,2.6333333333333337,32,30,68,-845,NA,0.6190476190476191,-6.126141117099861,-0.241685487950719,2.03471469627261,NA
19180,8,19,10,9,9,19,0.7638888888888888,2.466666666666667,1,28,58,-570.5,2.6791157949758895,0.5,-6.037359367348956,-0.235355803213704,1.8925812333049301,0.20903361344537813
19182,18,32,14,11,8,19,0.9166666666666666,3.166666666666667,56,50,74,-805,3.2726622194925983,0.8333333333333333,-6.008976972192613,-0.11982995904931,2.87858059894972,0.35479520479520477
19184,24,39,19,11,13,19,NA,3.35,78,45,89,-434,2.4269669963003326,NA,-6.5441995739511825,-0.180340590790944,2.67133772418714,0.02321428571428571
19185,15,NA,10,4,5,12,0.7777777777777778,1.5,23,NA,31,-814.5,0.5428038676482909,0.3809523809523809,-6.233656293392886,-0.258432798268057,1.04321979628533,0.3526373626373626
19188,21,28,12,10,9,12,0.7777777777777778,2.366666666666667,33,31,73,-706.5,3.051178386402251,NA,-5.814343728713199,-0.231740447061227,2.14001825219107,0.0175438596491228
19189,7,32,9,11,9,11,0.6388888888888888,1.85,34,39,57,-841.5,3.009592489686801,0.7857142857142857,-6.154403031437461,NA,NA,NA
19193,12,25,10,7,12,11,0.8194444444444444,1.8833333333333335,34,35,70,-945,3.5565434708093124,0.5,-6.258943912242243,-0.215822286063955,1.16671192502112,0.3231627809941063
19194,18,22,10,8,8,10,0.8888888888888888,1.8166666666666669,31,42,71,-741.5,3.3821214990262627,0.7380952380952381,-5.902438154323944,-0.164875614531377,1.91485719584364,0.27114427860696516
19196,16,12,16,12,12,23,0.7083333333333333,3.2333333333333334,43,47,75,-497,1.9179092042808064,0.7380952380952381,-6.1531581361059695,-0.235403585074722,2.8038064941166,0.01428571428571428
19197,15,35,15,12,11,14,0.8888888888888888,1.9166666666666667,32,45,73,-554,1.6353273947354177,0.7380952380952381,-6.189632112352014,-0.17465494956932,2.57663775357011,0.04761904761904762
