parameter,feature,pearson_r,spearman_rho,p_value,n,fdr_q,fdr_significant
v,connectivity_theta,0.0018382693888430793,0.01963745641578856,0.9802419386459494,184,0.9914729505872223,False
v,connectivity_alpha,0.07237589945692742,0.06312342278129876,0.32889347003049135,184,0.606366336320852,False
v,connectivity_beta,-0.07043652462610236,-0.07110824295428714,0.3420528051040704,184,0.606366336320852,False
t0,frontal_aperiodic_exponent,0.028757982556623853,0.002475390572325711,0.6983757077726823,184,0.9362606329395059,False
t0,frontal_aperiodic_offset,0.051994682808227596,-0.00016759453680337497,0.48332916183714864,184,0.8568107868931272,False
t0,frontal_sample_entropy,0.021509382104745983,0.04740421105353393,0.7719595696910844,184,0.9362606329395059,False
t0,frontal_perm_entropy,-0.1326518159457626,-0.16531948912561883,0.07264484719236909,184,0.6896466093312127,False
t0,posterior_aperiodic_exponent,-0.11039686099117248,-0.13390803490589662,0.1357372814470535,184,0.7169184271751449,False
t0,posterior_aperiodic_offset,-0.06480439339396157,-0.13896284024580532,0.3821301643325578,184,0.8034011532439302,False
t0,posterior_sample_entropy,0.06136237892031711,0.04494615784708443,0.4079721040265821,184,0.8034011532439302,False
t0,posterior_perm_entropy,-0.07633084866510707,-0.1162412590780374,0.3030807793061583,184,0.8034011532439302,False
t0,central_aperiodic_exponent,-3.405998088879675e-05,-0.032954479782705014,0.9996338798893415,184,0.9996338798893415,False
t0,central_aperiodic_offset,0.06604229248594687,-0.02825412725626553,0.3730852259161629,184,0.8034011532439302,False
t0,central_sample_entropy,0.04631053372065023,0.06434089114060604,0.5324695089201745,184,0.9028830803429047,False
t0,central_perm_entropy,-0.09841290666352556,-0.12404114734834622,0.18382523773721662,184,0.7169184271751449,False
t0,left_temporal_aperiodic_exponent,0.019551570269873197,-0.03350927549074377,0.7922205355641972,184,0.9362606329395059,False
t0,left_temporal_aperiodic_offset,0.09001548637516828,0.022789004257286506,0.224298623292024,184,0.7289705256990779,False
